Company,Region,Year,EP,Claims,LR
Allstate,Atlantic,2011,77296,42995,0.5562
Allstate,Atlantic,2012,78814,39548,0.5018
Allstate,Atlantic,2013,83203,49916,0.5999
Allstate,Atlantic,2014,87148,57026,0.6544
Allstate,Atlantic,2015,93967,74731,0.7953
Allstate,Atlantic,2016,103499,78980,0.7631
Allstate,Atlantic,2017,112953,86784,0.7683
Allstate,Atlantic,2018,126081,100945,0.8006
Allstate,Atlantic,2019,145851,125748,0.8622
Allstate,Atlantic,2020,159252,110504,0.6939
Allstate,Atlantic,2021,85738,46832,0.5462
Allstate,Ontario,2011,629136,430058,0.6836
Allstate,Ontario,2012,730053,438391,0.6005
Allstate,Ontario,2013,816283,510174,0.625
Allstate,Ontario,2014,903512,604325,0.6689
Allstate,Ontario,2015,992646,706684,0.7119
Allstate,Ontario,2016,1055728,748527,0.709
Allstate,Ontario,2017,1064451,688977,0.6473
Allstate,Ontario,2018,1098703,759363,0.6911
Allstate,Ontario,2019,1249367,752410,0.6022
Allstate,Ontario,2020,1373281,687009,0.5003
Allstate,Ontario,2021,739169,374269,0.5063
Allstate,Quebec,2011,101438,56603,0.558
Allstate,Quebec,2012,103471,59592,0.5759
Allstate,Quebec,2013,102080,59071,0.5787
Allstate,Quebec,2014,97067,57017,0.5874
Allstate,Quebec,2015,95740,58094,0.6068
Allstate,Quebec,2016,97679,61881,0.6335
Allstate,Quebec,2017,100761,70729,0.7019
Allstate,Quebec,2018,109770,82717,0.7535
Allstate,Quebec,2019,129488,96636,0.7463
Allstate,Quebec,2020,152962,90357,0.5907
Allstate,Quebec,2021,80964,45542,0.5625
Allstate,Territories,2011,277,55,0.1986
Allstate,Territories,2012,306,151,0.4935
Allstate,Territories,2013,313,79,0.2524
Allstate,Territories,2014,325,222,0.6831
Allstate,Territories,2015,344,87,0.2529
Allstate,Territories,2016,327,203,0.6208
Allstate,Territories,2017,284,64,0.2254
Allstate,Territories,2018,262,122,0.4656
Allstate,Territories,2019,249,66,0.2651
Allstate,Territories,2020,276,110,0.3986
Allstate,Territories,2021,130,52,0.4
Allstate,West,2011,88405,64677,0.7316
Allstate,West,2012,92326,82687,0.8956
Allstate,West,2013,101089,72466,0.7169
Allstate,West,2014,114306,84843,0.7422
Allstate,West,2015,133289,87030,0.6529
Allstate,West,2016,149547,124363,0.8316
Allstate,West,2017,169090,106513,0.6299
Allstate,West,2018,207537,142817,0.6882
Allstate,West,2019,272086,191083,0.7023
Allstate,West,2020,326842,254965,0.7801
Allstate,West,2021,182972,95438,0.5216
Aviva,Atlantic,2011,341885,211031,0.6173
Aviva,Atlantic,2012,342467,192099,0.5609
Aviva,Atlantic,2013,357308,214727,0.601
Aviva,Atlantic,2014,376427,293789,0.7805
Aviva,Atlantic,2015,403918,310081,0.7677
Aviva,Atlantic,2016,428405,323281,0.7546
Aviva,Atlantic,2017,428760,337238,0.7865
Aviva,Atlantic,2018,434464,335613,0.7725
Aviva,Atlantic,2019,433216,315624,0.7286
Aviva,Atlantic,2020,468277,320089,0.6835
Aviva,Atlantic,2021,232204,142886,0.6153
Aviva,Ontario,2011,2147564,1450197,0.6753
Aviva,Ontario,2012,2301658,1444464,0.6276
Aviva,Ontario,2013,2369380,1554430,0.656
Aviva,Ontario,2014,2567076,1651035,0.6432
Aviva,Ontario,2015,2750513,1793766,0.6522
Aviva,Ontario,2016,2981771,1864257,0.6252
Aviva,Ontario,2017,2977086,2160979,0.7259
Aviva,Ontario,2018,3085054,2213163,0.7174
Aviva,Ontario,2019,3127885,2043953,0.6535
Aviva,Ontario,2020,3174914,2002932,0.6309
Aviva,Ontario,2021,1626747,820592,0.5044
Aviva,Quebec,2011,541250,339777,0.6278
Aviva,Quebec,2012,531235,336940,0.6343
Aviva,Quebec,2013,519591,343053,0.6602
Aviva,Quebec,2014,510577,322286,0.6312
Aviva,Quebec,2015,490710,308646,0.629
Aviva,Quebec,2016,479952,314986,0.6563
Aviva,Quebec,2017,454626,331195,0.7285
Aviva,Quebec,2018,465563,317350,0.6816
Aviva,Quebec,2019,462334,333973,0.7224
Aviva,Quebec,2020,510965,281772,0.5515
Aviva,Quebec,2021,263002,103043,0.3918
Aviva,Territories,2011,18361,14939,0.8136
Aviva,Territories,2012,20614,13153,0.6381
Aviva,Territories,2013,22837,12166,0.5327
Aviva,Territories,2014,23887,13114,0.549
Aviva,Territories,2015,25494,17456,0.6847
Aviva,Territories,2016,25046,13081,0.5223
Aviva,Territories,2017,27616,16830,0.6094
Aviva,Territories,2018,29150,16334,0.5603
Aviva,Territories,2019,28481,18282,0.6419
Aviva,Territories,2020,36959,10512,0.2844
Aviva,Territories,2021,16305,8203,0.5031
Aviva,West,2011,805150,501950,0.6234
Aviva,West,2012,852574,534932,0.6274
Aviva,West,2013,919288,688004,0.7484
Aviva,West,2014,1046335,692063,0.6614
Aviva,West,2015,1145875,700217,0.6111
Aviva,West,2016,1184221,1095283,0.9249
Aviva,West,2017,1235244,844978,0.6841
Aviva,West,2018,1288100,908195,0.7051
Aviva,West,2019,1213623,752429,0.62
Aviva,West,2020,1314057,1029313,0.7833
Aviva,West,2021,697681,353117,0.5061
Desjardins,Atlantic,2011,53220,38369,0.721
Desjardins,Atlantic,2012,55194,34134,0.6184
Desjardins,Atlantic,2013,56891,27999,0.4922
Desjardins,Atlantic,2014,57982,46147,0.7959
Desjardins,Atlantic,2015,105241,84690,0.8047
Desjardins,Atlantic,2016,108660,92418,0.8505
Desjardins,Atlantic,2017,113902,98558,0.8653
Desjardins,Atlantic,2018,121980,96485,0.791
Desjardins,Atlantic,2019,132836,110847,0.8345
Desjardins,Atlantic,2020,141520,88273,0.6237
Desjardins,Atlantic,2021,77402,45505,0.5879
Desjardins,Ontario,2011,600328,495524,0.8254
Desjardins,Ontario,2012,715867,541099,0.7559
Desjardins,Ontario,2013,775661,544201,0.7016
Desjardins,Ontario,2014,819919,593725,0.7241
Desjardins,Ontario,2015,2298453,1623413,0.7063
Desjardins,Ontario,2016,2315936,1500157,0.6478
Desjardins,Ontario,2017,2372648,1552700,0.6544
Desjardins,Ontario,2018,2583293,1921977,0.744
Desjardins,Ontario,2019,2957384,2079657,0.7032
Desjardins,Ontario,2020,3034609,1834525,0.6045
Desjardins,Ontario,2021,1569066,728863,0.4645
Desjardins,Quebec,2011,1019150,0.065,0.0001
Desjardins,Quebec,2012,1066528,0.065,0.0001
Desjardins,Quebec,2013,1126661,0.065,0.0001
Desjardins,Quebec,2014,1179390,0.065,0.0001
Desjardins,Quebec,2015,1255791,0.065,0.0001
Desjardins,Quebec,2016,1330677,0.065,0.0001
Desjardins,Quebec,2017,1412204,0.065,0.0001
Desjardins,Quebec,2018,1514601,0.065,0.0001
Desjardins,Quebec,2019,1689418,0.065,0.0001
Desjardins,Quebec,2020,1868480,0.065,0.0001
Desjardins,Quebec,2021,1001172,0.065,0.0001
Desjardins,Territories,2011,1701,457,0.2687
Desjardins,Territories,2012,1897,568,0.2994
Desjardins,Territories,2013,2075,1407,0.6781
Desjardins,Territories,2014,2303,1394,0.6053
Desjardins,Territories,2015,3211,1270,0.3955
Desjardins,Territories,2016,3578,1531,0.4279
Desjardins,Territories,2017,3930,2862,0.7282
Desjardins,Territories,2018,4344,2246,0.517
Desjardins,Territories,2019,4724,2820,0.597
Desjardins,Territories,2020,4929,3061,0.621
Desjardins,Territories,2021,2729,1792,0.6567
Desjardins,West,2011,62621,46961,0.7499
Desjardins,West,2012,70261,58663,0.8349
Desjardins,West,2013,82531,61938,0.7505
Desjardins,West,2014,112573,89481,0.7949
Desjardins,West,2015,327606,254931,0.7782
Desjardins,West,2016,369365,449123,1.2159
Desjardins,West,2017,399093,350272,0.8777
Desjardins,West,2018,423111,378392,0.8943
Desjardins,West,2019,474067,366530,0.7732
Desjardins,West,2020,510454,529575,1.0375
Desjardins,West,2021,276330,156165,0.5651
Economical,Atlantic,2011,145476,94271,0.648
Economical,Atlantic,2012,147527,90541,0.6137
Economical,Atlantic,2013,149638,107807,0.7205
Economical,Atlantic,2014,147871,117234,0.7928
Economical,Atlantic,2015,140975,116147,0.8239
Economical,Atlantic,2016,139715,94298,0.6749
Economical,Atlantic,2017,152748,113250,0.7414
Economical,Atlantic,2018,172401,147878,0.8578
Economical,Atlantic,2019,197235,155744,0.7896
Economical,Atlantic,2020,225329,153812,0.6826
Economical,Atlantic,2021,126125,79056,0.6268
Economical,Ontario,2011,1006398,595160,0.5914
Economical,Ontario,2012,1014602,550769,0.5428
Economical,Ontario,2013,1081950,703946,0.6506
Economical,Ontario,2014,1127763,722592,0.6407
Economical,Ontario,2015,1156004,681572,0.5896
Economical,Ontario,2016,1204402,778932,0.6467
Economical,Ontario,2017,1331627,972844,0.7306
Economical,Ontario,2018,1404117,1011710,0.7205
Economical,Ontario,2019,1504658,1072598,0.7129
Economical,Ontario,2020,1584980,919648,0.5802
Economical,Ontario,2021,860994,481360,0.5591
Economical,Quebec,2011,120167,68835,0.5728
Economical,Quebec,2012,123940,60484,0.488
Economical,Quebec,2013,127437,111816,0.8774
Economical,Quebec,2014,123437,62053,0.5027
Economical,Quebec,2015,126198,98224,0.7783
Economical,Quebec,2016,133975,131829,0.984
Economical,Quebec,2017,145886,111867,0.7668
Economical,Quebec,2018,140830,130477,0.9265
Economical,Quebec,2019,171486,142833,0.8329
Economical,Quebec,2020,210316,125442,0.5964
Economical,Quebec,2021,125323,78933,0.6298
Economical,Territories,2011,653,97,0.1485
Economical,Territories,2012,687,291,0.4236
Economical,Territories,2013,754,314,0.4164
Economical,Territories,2014,805,408,0.5068
Economical,Territories,2015,824,574,0.6966
Economical,Territories,2016,749,140,0.1869
Economical,Territories,2017,727,247,0.3398
Economical,Territories,2018,733,257,0.3506
Economical,Territories,2019,612,268,0.4379
Economical,Territories,2020,762,164,0.2152
Economical,Territories,2021,669,404,0.6039
Economical,West,2011,454899,272938,0.6
Economical,West,2012,507746,336705,0.6631
Economical,West,2013,555329,353471,0.6365
Economical,West,2014,580191,385484,0.6644
Economical,West,2015,604667,371486,0.6144
Economical,West,2016,599962,513604,0.8561
Economical,West,2017,604277,469735,0.7774
Economical,West,2018,601087,435544,0.7246
Economical,West,2019,610974,385140,0.6304
Economical,West,2020,654053,413819,0.6327
Economical,West,2021,353585,204304,0.5778
Intact,Atlantic,2011,339791,112701,0.3317
Intact,Atlantic,2012,355606,169423,0.4764
Intact,Atlantic,2013,362698,241281,0.6652
Intact,Atlantic,2014,382437,262743,0.687
Intact,Atlantic,2015,443934,341636,0.7696
Intact,Atlantic,2016,483592,357341,0.7389
Intact,Atlantic,2017,490246,415568,0.8477
Intact,Atlantic,2018,498420,344856,0.6919
Intact,Atlantic,2019,539182,360731,0.669
Intact,Atlantic,2020,579211,353346,0.61
Intact,Atlantic,2021,293074,142964,0.4878
Intact,Ontario,2011,2880634,1489744,0.5172
Intact,Ontario,2012,2964841,1758573,0.5931
Intact,Ontario,2013,3046639,2155778,0.7076
Intact,Ontario,2014,3093328,1942287,0.6279
Intact,Ontario,2015,3139529,1872519,0.5964
Intact,Ontario,2016,3319994,2106656,0.6345
Intact,Ontario,2017,3400608,2449917,0.7204
Intact,Ontario,2018,3396059,2518574,0.7416
Intact,Ontario,2019,3833257,2822573,0.7363
Intact,Ontario,2020,3988278,2457448,0.6162
Intact,Ontario,2021,1964549,1262154,0.6425
Intact,Quebec,2011,2080034,737479,0.3546
Intact,Quebec,2012,2118853,840042,0.3965
Intact,Quebec,2013,2140411,1264840,0.5909
Intact,Quebec,2014,2160251,1228913,0.5689
Intact,Quebec,2015,2216199,1237175,0.5582
Intact,Quebec,2016,2297647,1362569,0.593
Intact,Quebec,2017,2330758,1386056,0.5947
Intact,Quebec,2018,2429838,1483502,0.6105
Intact,Quebec,2019,2703849,1766435,0.6533
Intact,Quebec,2020,2956114,1518549,0.5137
Intact,Quebec,2021,1565392,744185,0.4754
Intact,Territories,2011,18161,6529,0.3595
Intact,Territories,2012,17379,10319,0.5938
Intact,Territories,2013,17804,24460,1.3738
Intact,Territories,2014,18369,11431,0.6223
Intact,Territories,2015,18658,9557,0.5122
Intact,Territories,2016,19260,12231,0.635
Intact,Territories,2017,19428,7745,0.3987
Intact,Territories,2018,17932,13393,0.7469
Intact,Territories,2019,18981,12151,0.6402
Intact,Territories,2020,19143,14937,0.7803
Intact,Territories,2021,9607,4596,0.4784
Intact,West,2011,1748623,899255,0.5143
